x,y,V,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,-7,0.11,-11.4,-3.1,-11.8,-0.7,-12.2,1.7,-12.1,4.1,-10.5,-0.7
0,-6.5,0.18,-7.8,-2.8,-10.4,-0.7,-11.3,1.7,-10.2,3.6,-8.5,-0.7
0,-6,0.28,-6.8,-2.8,-8.2,-0.7,-9.6,1.5,-8.5,3.5,-7.6,-0.7
0,-5.5,0.38,-4.5,-2.8,-6.5,-0.7,-7.6,1.4,-6.8,3.3,-6.1,-0.7
0,-5,0.49,-3,-2.8,-3.8,-0.8,-6,1.3,-5.1,3.2,-4.9,-0.8
0,-4.5,0.61,-1.1,-2.8,-1.1,-0.8,-4.5,1.3,-3.6,3.2,-3.1,-0.8
0,-4,0.72,-0.1,-2.8,0.3,-0.8,-2.1,1.3,-1.8,3.2,-0.7,-0.8
0,-3.5,0.86,1,-2.8,1.4,-0.7,-0.9,1.3,-0.1,3.2,1.1,-0.8
0,-3,0.97,1.8,-2.8,3.4,-0.8,0.5,1.2,1,3.2,2.2,-0.8
0,-2.5,1.09,4,-2.9,5,-0.8,2.1,1.2,4.2,3.1,3.7,-0.8
0,-2,1.21,5,-2.9,7.6,-0.8,3.3,1.2,6.5,3.2,5.1,-0.8
0,-1.5,1.33,6.2,-2.9,11.4,-0.9,5.4,1.3,8.1,3.3,6.4,-0.8
0,-1,1.43,8.5,-3,,,7,1.3,9.1,3.4,7.8,-0.8
0,-0.5,1.57,11.2,-3.3,,,8.8,1.3,10.7,3.6,9.4,-0.9
0,0,1.7,13.4,-3.6,,,10.6,1.4,11.6,3.7,10.9,-0.9
0,0.5,1.81,,,,,12.1,1.5,,,12.2,-1
0,1,1.94,,,,,,,,,,
0,1.5,2.06,,,,,,,,,,
0,2,2.19,,,,,,,,,,
0,2.5,2.32,,,,,,,,,,
0,3,2.45,,,,,,,,,,
0,3.5,2.58,,,,,,,,,,
0,4,2.71,,,,,,,,,,
0,4.5,2.84,,,,,,,,,,
0,5,2.96,,,,,,,,,,
0,5.5,3.09,,,,,,,,,,
0,6,3.22,,,,,,,,,,
0,6.5,3.33,,,,,,,,,,
0,7,3.55,,,,,,,,,,
