x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
-1.4,-4.7,1.5,8.3,-3,-12.3,0.6,-12.4,-0.3,11.1,6.1,-12.5,-16.6,6.4
-2.6,-6,0.1,6,-2.3,-10.1,0.7,-10.4,-1.4,6.6,5.4,-10.4,-14.5,5.5
-4.2,-7.9,-1,4.4,-1.4,-8,1.1,-9,-2.4,5,5,-8.6,-12.1,4.2
-6.7,-10.4,-2.8,2.3,0,-6,1.5,-7.6,-4.1,3.1,5.2,-6.2,-8.3,3.4
-7.5,-10.2,-3.9,1.5,1.9,-3.7,2.5,-5.9,-5.8,1.9,6.8,-4.9,-6.4,4
-9.2,-10.7,-5.9,0.1,4.3,-1.6,3.9,-3.9,-8.3,0.7,8.2,-4.4,-5,5.2
-11.1,-8.5,-8,-1,7.5,0.4,6.2,-2.3,-10.4,0.1,9.7,-4.5,-4.3,6.9
-10.8,-6,-10,-2,9.2,1.2,8.5,-1.3,-12,-0.2,11.1,-5.1,-4.1,9
-10,-4.7,-11.9,-3,10.9,2.1,9.5,-1,-16.4,-0.9,12.3,-6,-4.2,10.5
-8.3,-3.4,-11.2,-2.7,12.9,3.1,11,-0.7,,,13.4,-6.9,,
-5.2,-1.3,,,15.3,4,12.8,-0.5,,,,,,
-3.5,0,,,,,14,-0.3,,,,,,
-0.6,2.4,,,,,15.7,-0.2,,,,,,
2.7,5.8,,,,,,,,,,,,
1.7,4.7,,,,,,,,,,,,
3.9,7.3,,,,,,,,,,,,
5.7,9.7,,,,,,,,,,,,
9.1,10.3,,,,,,,,,,,,
12,9.1,,,,,,,,,,,,
11.9,7.8,,,,,,,,,,,,
11.6,7,,,,,,,,,,,,
10.7,5.1,,,,,,,,,,,,
7.1,2.2,,,,,,,,,,,,
4,0.2,,,,,,,,,,,,
1.9,-1.4,,,,,,,,,,,,
-1.4,-4.7,,,,,,,,,,,,
